"codi","nom"
"080018","Abrera"
"080023","Aguilar de Segarra"
"080039","Alella"
"080044","Alpens"
"080057","l'Ametlla del Vallès"
"080060","Arenys de Mar"
"080076","Arenys de Munt"
"080082","Argençola"
"080095","Argentona"
"080109","Artés"
"080116","Avià"
"080121","Avinyó"
"080137","Avinyonet del Penedès"
"080142","Aiguafreda"
"080155","Badalona"
"080168","Bagà"
"080174","Balenyà"
"080180","Balsareny"
"080193","Barcelona"
"080207","Begues"
"080214","Bellprat"
"080229","Berga"
"080235","Bigues i Riells"
"080240","Borredà"
"080253","el Bruc"
"080266","el Brull"
"080272","les Cabanyes"
"080288","Cabrera d'Anoia"
"080291","Cabrera de Mar"
"080305","Cabrils"
"080312","Calaf"
"080327","Caldes d'Estrac"
"080333","Caldes de Montbui"
"080348","Calders"
"080351","Calella"
"080364","Calonge de Segarra"
"080370","Calldetenes"
"080386","Callús"
"080399","Campins"
"080403","Canet de Mar"
"080410","Canovelles"
"080425","Cànoves i Samalús"
"080431","Canyelles"
"080446","Capellades"
"080459","Capolat"
"080462","Cardedeu"
"080478","Cardona"
"080484","Carme"
"080497","Casserres"
"080500","Castellar del Riu"
"080517","Castellar del Vallès"
"080522","Castellar de n'Hug"
"080538","Castellbell i el Vilar"
"080543","Castellbisbal"
"080556","Castellcir"
"080569","Castelldefels"
"080575","Castell de l'Areny"
"080581","Castellet i la Gornal"
"080594","Castellfollit del Boix"
"080608","Castellfollit de Riubregós"
"080615","Castellgalí"
"080620","Castellnou de Bages"
"080636","Castellolí"
"080641","Castellterçol"
"080654","Castellví de la Marca"
"080667","Castellví de Rosanes"
"080673","Centelles"
"080689","Cervelló"
"080692","Collbató"
"080706","Collsuspina"
"080713","Copons"
"080728","Corbera de Llobregat"
"080734","Cornellà de Llobregat"
"080749","Cubelles"
"080752","Dosrius"
"080765","Esparreguera"
"080771","Esplugues de Llobregat"
"080787","l'Espunyola"
"080790","l'Estany"
"080804","Fígols"
"080811","Fogars de Montclús"
"080826","Fogars de la Selva"
"080832","Folgueroles"
"080847","Fonollosa"
"080850","Font-rubí"
"080863","les Franqueses del Vallès"
"080879","Gallifa"
"080885","la Garriga"
"080898","Gavà"
"080902","Gaià"
"080919","Gelida"
"080924","Gironella"
"080930","Gisclareny"
"080945","la Granada"
"080958","Granera"
"080961","Granollers"
"080977","Gualba"
"080983","Sant Salvador de Guardiola"
"080996","Guardiola de Berguedà"
"081000","Gurb"
"081017","l'Hospitalet de Llobregat"
"081022","Igualada"
"081038","Jorba"
"081043","la Llacuna"
"081056","la Llagosta"
"081069","Llinars del Vallès"
"081075","Lliçà d'Amunt"
"081081","Lliçà de Vall"
"081094","Lluçà"
"081108","Malgrat de Mar"
"081115","Malla"
"081120","Manlleu"
"081136","Manresa"
"081141","Martorell"
"081154","Martorelles"
"081167","les Masies de Roda"
"081173","les Masies de Voltregà"
"081189","el Masnou"
"081192","Masquefa"
"081206","Matadepera"
"081213","Mataró"
"081228","Mediona"
"081234","Molins de Rei"
"081249","Mollet del Vallès"
"081252","Montcada i Reixac"
"081265","Montgat"
"081271","Monistrol de Montserrat"
"081287","Monistrol de Calders"
"081290","Muntanyola"
"081304","Montclar"
"081311","Montesquiu"
"081326","Montmajor"
"081332","Montmaneu"
