"codi","nom"
"001","Agramunt"
"002",NA
"003",NA
"004","Amposta"
"005",NA
"007","Aran"
"008",NA
"009","Arenys de Mar"
"010","Argentona"
"011",NA
"012","Artesa de Segre"
"013","El Vendrell"
"014","Balaguer"
"015","Banyoles"
"016","Barcelona - 01A"
"017","Barcelona - 01B"
"018","Barcelona - 01C"
"019","Barcelona - 01D"
"020","Barcelona - 01E"
"021","Barcelona - 02A"
"022","Barcelona - 02B"
"023","Barcelona - 02C"
"024","Barcelona - 02D"
"025","Barcelona - 02E"
"027","Barcelona - 02G"
"028","Barcelona - 02H"
"029","Barcelona - 02I"
"030","Barcelona - 02J"
"031","Barcelona - 02K"
"032","Barcelona - 03A"
"033","Barcelona - 03B"
"034","Barcelona - 03C"
"035","Barcelona - 03D"
"036","Barcelona - 03E"
"038","Barcelona - 03G"
"039","Barcelona - 04A"
"040","Barcelona - 04B"
"041","Barcelona - 04C"
"042","Barcelona - 05A"
"043","Barcelona - 05B"
"044","Barcelona - 05C"
"045","Barcelona - 05D"
"046","Barcelona - 05E"
"047","Barcelona - 06A"
"048","Barcelona - 06B"
"049","Barcelona - 06C"
"050","Barcelona - 06D"
"051","Barcelona - 07A"
"052","Barcelona - 07B"
"053","Barcelona - 07C"
"054","Barcelona - 07D"
"055","Barcelona - 07E"
"056","Barcelona - 07F"
"059","Barcelona - 08C"
"062","Barcelona - 08F"
"063","Barcelona - 08G"
"064","Barcelona - 08H"
"065","Barcelona - 09A"
"067","Barcelona - 09C"
"069","Barcelona - 09E"
"070","Barcelona - 09F"
"071","Barcelona - 10A"
"072","Barcelona - 10B"
"073","Barcelona - 10C"
"074","Barcelona - 10D"
"075","Barcelona - 10E"
"076","Barcelona - 10F"
"077","Barcelona - 10G"
"078","Barcelona - 10H"
"079","Barcelona - 10I"
"080",NA
"081","Bellpuig"
"082","Berga"
"083",NA
"084",NA
"085","Blanes"
"086","Les Borges Blanques"
"087","Les Borges del Camp"
"088","Calaf"
"089","Caldes de Montbui"
"090","Calella"
"091","Cambrils"
"092","Camprodon"
"093","Canet de Mar"
"095","Cardedeu"
"096","Cardona"
"097",NA
"098","Montserrat"
"100",NA
"101",NA
"102","Centelles"
"103","Cerdanya"
"104",NA
"105",NA
"106","Cervera"
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112","Cornudella de Montsant"
"113","Deltebre"
"114","L'Escala"
"115","Esparreguera"
"116","Esplugues de Llobregat - 1"
"117","Esplugues de Llobregat - 2"
"118","Falset"
"119","Figueres"
"120","Flix"
"121","La Garriga"
"122",NA
"123",NA
"124","Girona - 1"
"125","Girona - 2"
"126","Girona - 3"
"127","Girona - 4"
"128",NA
"129","La Granadella"
"130",NA
"131","Anoia rural"
"133","La Jonquera"
"134",NA
"135","Lleida - 1"
"136","Lleida - 2"
"137","Lleida - 3"
"138","Lleida - 4"
"139","Lleida - 5"
"140","Lleida - 6"
"141","Lleida rural - 1 Nord"
"142","Lloret de Mar"
"143","Malgrat de Mar"
"144","Manlleu"
"145","Manresa - 1"
"146","Manresa - 2"
"147","Manresa - 3"
"148","Manresa - 4"
"149","Martorell"
"150","Martorelles"
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160","Molins de Rei"
"161","Pla d'Urgell"
"162","Montblanc"
"163","Mont-roig del Camp"
"164",NA
"165",NA
"166","El Morell"
"167",NA
"168","Olesa de Montserrat"
"169","Alt Urgell Sud"
"171","Olot"
"172","Palafrugell"
"173",NA
"174",NA
"175",NA
"176",NA
"177","Peralada"
"178",NA
"179","La Pobla de Segur"
"180",NA
"181","Ponts"
"182","El Prat de Llobregat - 1"
"183","El Prat de Llobregat - 2"
"184","El Prat de Llobregat - 3"
"185",NA
"186",NA
"187","Ripoll - Sant Joan de les Abadesses"
"188","Riudoms"
"189","Roses"
"190","Sabadell - 1A"
"191","Sabadell - 1B"
"192","Sabadell - 2"
"193","Sabadell - 3A"
"194","Sabadell - 3B"
"196","Sabadell - 5"
"197","Sabadell - 6"
"198","Sabadell - 7"
"199","Salt"
"200","Sallent"
"201","Sant Andreu de la Barca"
"202","Sant Boi de Llobregat - 1"
"203","Sant Boi de Llobregat - 2"
"204","Sant Boi de Llobregat - 3"
"205","Sant Boi de Llobregat - 4"
"206",NA
"207","Sant Celoni"
"208",NA
"209","Sant Feliu de Llobregat - 1"
"210","Sant Feliu de Llobregat - 2"
"211",NA
"212",NA
"213",NA
"214",NA
"215","Sant Joan de Vilatorrada"
"216","Sant Just Desvern"
"217","Sant Quirze de Besora"
"218",NA
"219",NA
"221","Santa Coloma de Farners"
"222","Santa Coloma de Gramenet - 1"
"223","Santa Coloma de Gramenet - 2"
"224","Santa Coloma de Gramenet - 3"
"225","Santa Coloma de Gramenet - 4"
"226","Santa Coloma de Gramenet - 5"
"228","Santa Coloma de Queralt"
"229","Santa Margarida de Montbui"
"230",NA
"231",NA
"232",NA
"233","La Seu d'Urgell"
"234",NA
"235","Sitges"
"236",NA
"237",NA
"238",NA
"239","Tarragona - 1"
"240","Tarragona - 2"
"241","Tarragona - 3"
"242","Tarragona - 4"
"243","Tarragona - 5"
"244","Tarragona - 6"
"245",NA
"246","Terra Alta"
"247","Terrassa - A"
"248","Terrassa - B"
"249","Terrassa - C"
"250","Terrassa - D"
"251","Terrassa - E"
"252","Terrassa - F"
"253","Tona"
