"codi";"nom";"valor"
"080018";"Abrera";96
"080023";"Aguilar de Segarra";15
"080039";"Alella";285
"080044";"Alpens";158
"080057";"l'Ametlla del Vallès";469
"080060";"Arenys de Mar";479
"080076";"Arenys de Munt";244
"080082";"Argençola";273
"080095";"Argentona";165
"080109";"Artés";285
"080116";"Avià";87
"080121";"Avinyó";383
"080137";"Avinyonet del Penedès";385
"080142";"Aiguafreda";402
"080155";"Badalona";433
"080168";"Bagà";85
"080174";"Balenyà";474
"080180";"Balsareny";444
"080193";"Barcelona";290
"080207";"Begues";309
"080214";"Bellprat";160
"080229";"Berga";56
"080235";"Bigues i Riells";183
"080240";"Borredà";451
"080253";"el Bruc";461
"080266";"el Brull";320
"080272";"les Cabanyes";63
"080288";"Cabrera d'Anoia";473
"080291";"Cabrera de Mar";455
"080305";"Cabrils";120
"080312";"Calaf";234
"080327";"Caldes d'Estrac";152
"080333";"Caldes de Montbui";141
"080348";"Calders";377
"080351";"Calella";468
"080364";"Calonge de Segarra";57
"080370";"Calldetenes";161
"080386";"Callús";145
"080399";"Campins";214
"080403";"Canet de Mar";206
"080410";"Canovelles";482
"080425";"Cànoves i Samalús";435
"080431";"Canyelles";244
"080446";"Capellades";276
"080459";"Capolat";404
"080462";"Cardedeu";37
"080478";"Cardona";387
"080484";"Carme";296
"080497";"Casserres";340
"080500";"Castellar del Riu";207
"080517";"Castellar del Vallès";490
"080522";"Castellar de n'Hug";336
"080538";"Castellbell i el Vilar";500
"080543";"Castellbisbal";88
"080556";"Castellcir";247
"080569";"Castelldefels";120
"080575";"Castell de l'Areny";358
"080581";"Castellet i la Gornal";347
"080594";"Castellfollit del Boix";404
"080608";"Castellfollit de Riubregós";352
"080615";"Castellgalí";342
"080620";"Castellnou de Bages";472
"080636";"Castellolí";26
"080641";"Castellterçol";355
"080654";"Castellví de la Marca";30
"080667";"Castellví de Rosanes";372
"080673";"Centelles";435
"080689";"Cervelló";424
"080692";"Collbató";353
"080706";"Collsuspina";302
"080713";"Copons";391
"080728";"Corbera de Llobregat";18
"080734";"Cornellà de Llobregat";350
"080749";"Cubelles";454
"080752";"Dosrius";44
"080765";"Esparreguera";102
"080771";"Esplugues de Llobregat";79
"080787";"l'Espunyola";367
"080790";"l'Estany";249
"080804";"Fígols";355
"080811";"Fogars de Montclús";77
"080826";"Fogars de la Selva";205
"080832";"Folgueroles";95
"080847";"Fonollosa";175
"080850";"Font-rubí";216
"080863";"les Franqueses del Vallès";299
"080879";"Gallifa";378
"080885";"la Garriga";46
"080898";"Gavà";352
"080902";"Gaià";409
"080919";"Gelida";405
"080924";"Gironella";312
"080930";"Gisclareny";370
"080945";"la Granada";403
"080958";"Granera";17
"080961";"Granollers";3
"080977";"Gualba";288
"080983";"Sant Salvador de Guardiola";37
"080996";"Guardiola de Berguedà";453
"081000";"Gurb";398
"081017";"l'Hospitalet de Llobregat";362
"081022";"Igualada";183
"081038";"Jorba";108
"081043";"la Llacuna";300
"081056";"la Llagosta";454
"081069";"Llinars del Vallès";232
"081075";"Lliçà d'Amunt";31
"081081";"Lliçà de Vall";120
"081094";"Lluçà";62
"081108";"Malgrat de Mar";85
"081115";"Malla";259
"081120";"Manlleu";440
"081136";"Manresa";65
"081141";"Martorell";106
"081154";"Martorelles";318
"081167";"les Masies de Roda";380
"081173";"les Masies de Voltregà";27
"081189";"el Masnou";198
"081192";"Masquefa";438
"081206";"Matadepera";361
"081213";"Mataró";346
"081228";"Mediona";215
"081234";"Molins de Rei";133
"081249";"Mollet del Vallès";379
"081252";"Montcada i Reixac";144
"081265";"Montgat";180
"081271";"Monistrol de Montserrat";53
"081287";"Monistrol de Calders";142
"081290";"Muntanyola";491
"081304";"Montclar";43
"081311";"Montesquiu";187
"081326";"Montmajor";194
"081332";"Montmaneu";244
"081347";"Figaró-Montmany";211
"081350";"Montmeló";412
"081363";"Montornès del Vallès";307
"081379";"Montseny";21
"081385";"Moià";204
"081398";"Mura";337
"081402";"Navarcles";272
"081419";"Navàs";199
"081424";"la Nou de Berguedà";463
"081430";"Òdena";104
"081445";"Olvan";57
"081458";"Olèrdola";333
"081461";"Olesa de Bonesvalls";150
"081477";"Olesa de Montserrat";334
"081483";"Olivella";255
"081496";"Olost";257
"081509";"Orís";138
"081516";"Oristà";223
"081521";"Orpí";38
"081537";"Òrrius";227
"081542";"Pacs del Penedès";87
"081555";"Palafolls";238
"081568";"Palau-solità i Plegamans";137
"081574";"Pallejà";207
"081580";"el Papiol";197
"081593";"Parets del Vallès";109
"081607";"Perafita";69
"081614";"Piera";322
"081629";"els Hostalets de Pierola";74
"081635";"Pineda de Mar";477
"081640";"el Pla del Penedès";15
"081653";"la Pobla de Claramunt";126
"081666";"la Pobla de Lillet";377
"081672";"Polinyà";189
"081688";"Pontons";308
"081691";"el Prat de Llobregat";332
"081705";"els Prats de Rei";138
"081712";"Prats de Lluçanès";133
"081727";"Premià de Mar";223
"081748";"Puigdàlber";347
"081751";"Puig-reig";47
"081764";"Pujalt";446
"081770";"la Quar";95
"081786";"Rajadell";4
"081799";"Rellinars";347
"081803";"Ripollet";479
"081810";"la Roca del Vallès";388
"081825";"el Pont de Vilomara i Rocafort";102
"081831";"Roda de Ter";282
"081846";"Rubí";433
"081859";"Rubió";377
"081878";"Sabadell";406
"081884";"Sagàs";291
"081897";"Sant Pere Sallavinera";431
"081901";"Saldes";258
"081918";"Sallent";158
"081923";"Santpedor";259
"081939";"Sant Iscle de Vallalta";251
"081944";"Sant Adrià de Besòs";29
"081957";"Sant Agustí de Lluçanès";123
"081960";"Sant Andreu de la Barca";372
